Doc_Id,Sent_Id,Token,Pos_Tag,Ner_Tag
1,1,-,F,O
1,1,Gồm,V,O
1,1,1,M,O
1,1,gọng,N,B-Cat
1,1,kính,N,I-Cat
1,1,",",F,O
1,1,4,M,O
1,1,cặp,M,O
1,1,tròng,N,B-Cat
1,1,",",F,O
1,1,túi,N,B-Cat
1,1,vải,N,I-Cat
1,1,và,C,O
1,1,hộp,N,B-Cat
1,1,đựng,V,I-Cat
1,1,tiện_lợi,N,O
1,1,.,F,O
1,2,-,F,O
1,2,Có,V,O
1,2,khả_năng,N,O
1,2,chống,V,B-Inf
1,2,tia,Nc,I-Inf
1,2,cực_tím,N,I-Inf
1,2,UV400,Ny,O
1,2,",",F,O
1,2,giúp,V,O
1,2,bảo_vệ,V,B-Inf
1,2,mắt,N,I-Inf
1,2,tốt,A,O
1,2,hơn,A,O
1,2,.,F,O
1,3,-,F,O
1,3,Giúp,V,O
1,3,làm,V,O
1,3,dịu,A,B-Inf
1,3,mắt,N,I-Inf
1,3,",",F,O
1,3,chống,V,B-Inf
1,3,chói,V,I-Inf
1,3,lóa,N,I-Inf
1,3,",",F,O
1,3,khói,N,O
1,3,bụi,N,O
1,3,khi,N,O
1,3,đi_ngoài_trời,A,O
1,3,.,F,O
1,4,Xuất_xứ,N,O
1,4,Đài_Loan,Np,O
1,4,Kích_thước,N,O
1,4,13,M,B-Inf
1,4,x,N,I-Inf
1,4,"4,5",M,I-Inf
1,4,(,F,I-Inf
1,4,cm,N,I-Inf
1,4,),F,I-Inf
1,4,Màu_sắc,N,O
1,4,Trắng_Model,Np,B-Inf
1,4,3708,M,B-Mod
1,4,-,F,I-Mod
1,4,103,M,I-Mod
1,4,.,F,O
1,5,Chống,V,B-Inf
1,5,tia,N,I-Inf
1,5,cực_tím,N,I-Inf
1,5,UV400,Ny,O
1,5,",",F,O
1,5,giúp,V,O
1,5,bảo_vệ,V,B-Inf
1,5,mắt,N,I-Inf
1,5,Mắt_kính,V,B-Cat
1,5,xe_đạp,N,I-Cat
1,5,Dunlop,Np,B-Bra
1,5,3708,M,B-Mod
1,5,-,F,I-Mod
1,5,103,M,I-Mod
1,5,là,V,O
1,5,loại,Nc,O
1,5,mắt_kính,N,B-Cat
1,5,bảo_hộ,V,O
1,5,thường,R,O
1,5,được,V,O
1,5,dùng,V,O
1,5,khi,N,O
1,5,đi,V,O
1,5,xe_đạp,N,B-Cat
1,5,.,F,O
1,6,Mắt_kính,N,B-Cat
1,6,có,V,O
1,6,khả_năngchống,N,B-Inf
1,6,tia,Nc,I-Inf
1,6,cực_tím,N,I-Inf
1,6,UV400,Ny,O
1,6,",",F,O
1,6,giúp,V,O
1,6,bảo_vệ,V,B-Inf
1,6,mắt,N,I-Inf
1,6,tốt,A,O
1,6,hơn,R,O
1,6,",",F,O
1,6,không,R,O
1,6,bị,V,O
1,6,ảnh_hưởng,V,O
1,6,",",F,O
1,6,suy_yếu,N,O
1,6,do,E,O
1,6,tiếp_xúc,V,O
1,6,thường_xuyên,A,O
1,6,với,E,O
1,6,ánh,Nc,O
1,6,nắng,N,O
1,6,mặt_trời,N,O
1,6,.,F,O
1,7,Sản_phẩm,N,O
1,7,gồm,V,O
1,7,có,V,O
1,7,1,M,O
1,7,gọng,N,B-Cat
1,7,kính,V,I-Cat
1,7,và,C,O
1,7,4cặp,M,O
1,7,tròng,N,B-Cat
1,7,với,E,O
1,7,4màu,M,O
1,7,sắc,N,O
1,7,khác,A,O
1,7,nhau,N,O
1,7,để,E,O
1,7,bạn,N,O
1,7,tùy_ý,V,O
1,7,thay_đổi,V,O
1,7,phù_hợp,V,O
1,7,theo,V,O
1,7,các,L,O
1,7,thời_điểm,N,O
1,7,trong,E,O
1,7,ngày,N,O
1,7,.,F,O
1,8,Mắt_kính,N,B-Cat
1,8,xe_đạp,N,I-Cat
1,8,Dunlop,Np,B-Bra
1,8,3708,M,B-Mod
1,8,-,F,I-Mod
1,8,103,M,I-Mod
1,8,Giúp,V,O
1,8,làmdịu,V,B-Inf
1,8,mắt,N,I-Inf
1,8,khi,N,O
1,8,đi_ngoài_trời,V,O
1,8,Gọng,Np,B-Cat
1,8,kính,V,I-Cat
1,8,bằng,E,O
1,8,nhựa,N,B-Inf
1,8,cứng_cáp,V,I-Inf
1,8,và,C,O
1,8,chắc_chắn,A,B-Inf
1,8,.,F,O
1,9,Bên,N,O
1,9,ngoài,N,O
1,9,được,V,O
1,9,phủ,V,O
1,9,lớp,N,O
1,9,sơn,N,O
1,9,đẹp_mắt,A,B-Inf
